# distant supernova data.
# name,  redshift, m_effective, error
1992bi 0.458 23.11 0.46
1994F 0.354 22.38 0.33
1994G 0.425 22.13 0.49
1994H 0.374 21.72 0.22
1994al 0.420 22.55 0.25
1994am 0.372 22.26 0.20
1994an 0.378 22.58 0.37
1995aq 0.453 23.17 0.25
1995ar 0.465 23.33 0.30
1995as 0.498 23.71 0.25
1995at 0.655 23.27 0.21
1995aw 0.400 22.36 0.19
1995ax 0.615 23.19 0.25
1995ay 0.480 22.96 0.24
1995az 0.450 22.51 0.23
1995ba 0.388 22.65 0.20
1996cf 0.570 23.27 0.22
1996cg 0.490 23.10 0.20
1996ci 0.495 22.83 0.19
1996ck 0.656 23.57 0.28
1996cl 0.828 24.65 0.54
1996cm 0.450 23.17 0.23
1996cn 0.430 23.13 0.22
1997F 0.580 23.46 0.23
1997G 0.763 24.47 0.53
1997H 0.526 23.15 0.20
1997I 0.172 20.17 0.18
1997J 0.619 23.80 0.28
1997K 0.592 24.42 0.37
1997L 0.550 23.51 0.25
1997N 0.180 20.43 0.17
1997O 0.374 23.52 0.24
1997P 0.472 23.11 0.19
1997Q 0.430 22.57 0.18
1997R 0.657 23.83 0.23
1997S 0.612 23.69 0.21
1997ac 0.320 21.86 0.18
1997af 0.579 23.48 0.22
1997ai 0.450 22.83 0.30
1997aj 0.581 23.09 0.22
1997am 0.416 22.57 0.20
1997ap 0.830 24.32 0.22
